2023-01-29 22:20:39,128 [Worker-0: Loading available Gradle versions] INFO  o.e.b.c.i.u.g.PublishedGradleVersions - Gradle version information cache is out-of-date. Trying to update.
2023-01-29 22:25:01,265 [Worker-1: Loading available Gradle versions] INFO  o.e.b.c.i.u.g.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2023-02-03 10:45:07,535 [Worker-3: Loading available Gradle versions] INFO  o.e.b.c.i.u.g.PublishedGradleVersions - Gradle version information cache is out-of-date. Trying to update.
2023-02-03 11:07:55,995 [ModalContext] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/org/spilth/java8-junit4-quickstart/1.0.2/java8-junit4-quickstart-1.0.2.pom
2023-02-03 11:07:56,715 [ModalContext] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/spilth/java8-junit4-quickstart/1.0.2/java8-junit4-quickstart-1.0.2.pom
2023-02-03 11:07:57,014 [ModalContext] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/org/spilth/java8-junit4-quickstart/1.0.2/java8-junit4-quickstart-1.0.2.jar
2023-02-03 11:07:57,219 [ModalContext] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/spilth/java8-junit4-quickstart/1.0.2/java8-junit4-quickstart-1.0.2.jar
2023-02-03 11:10:11,882 [Worker-16: Launching mavenrun-f4d7eb0c-681c-4b34-aa70-42ba2599b8c1] INFO  o.eclipse.m2e.core.internal.Bundles - getClasspathEntries(Bundle=org.eclipse.m2e.maven.runtime_3.8.604.20221130-2149 [645])
2023-02-03 11:10:11,886 [Worker-16: Launching mavenrun-f4d7eb0c-681c-4b34-aa70-42ba2599b8c1] INFO  o.eclipse.m2e.core.internal.Bundles - 	Entry: /app/eclipse/plugins/org.eclipse.m2e.maven.runtime_3.8.604.20221130-2149
2023-02-03 11:10:11,886 [Worker-16: Launching mavenrun-f4d7eb0c-681c-4b34-aa70-42ba2599b8c1] INFO  o.eclipse.m2e.core.internal.Bundles - 	Entry: /app/eclipse/plugins/org.eclipse.m2e.maven.runtime_3.8.604.20221130-2149/jars/aether-connector-okhttp-0.17.8.jar
2023-02-03 11:10:11,886 [Worker-16: Launching mavenrun-f4d7eb0c-681c-4b34-aa70-42ba2599b8c1] INFO  o.eclipse.m2e.core.internal.Bundles - 	Entry: /app/eclipse/plugins/org.eclipse.m2e.maven.runtime_3.8.604.20221130-2149/jars/commons-cli-1.4.jar
